Localização,Latitude {N+/S-},Longitude {E+/W-},Zona Horaria {+/- GMT},Elevação {m},,,,,,,,,,,,,,
Salvador,-12.90,-38.33,-3,13,,,,,,,,,,,,,,

Mês,Dia,Hora,TBS {C},TBU {C},T. Pto Orvalho {C},Pressao Atmosferica {kPa},Umidade {kg/kg},U. R. {%},Densidade do ar {kg/m3},Entalpia {BTU/LB},Velocidade do Vento {m/s},Direção do Vento {graus},Cobertura Total de Nuvens {decimas},Rad Horizontal Extraterreste {Wh/m2},Rad Global Horizontal {Wh/m2},Rad Direta {Wh/m2},Rad Direta Normal {Wh/m2},Rad Difusa Horizontal {Wh/m2}
1,8,4,24.5,23.5,22.8,100.9,0.017942359,92,1.148027473,70.2,3,110,3,0,0,0,0,0
1,8,5,24.4,23.4,22.7,100.9,0.017828817,92,1.148617104,69.8,2,90,3,0,0,0,0,0
1,8,6,23.8,23.3,22.8,101.0,0.017908352,96,1.151935404,69.4,0,0,4,0,0,0,0,0
1,8,7,23.2,22.5,21.9,101.0,0.016943893,94,1.156010057,66.3,0,0,5,177,133,109,264,24
1,8,8,25.0,24.1,23.4,101.1,0.018640613,93,1.147122269,72.5,0,0,4,500,242,74,137,167
1,8,9,27.2,24.3,22.9,101.2,0.018012716,79,1.140964497,73.1,4,30,9,797,386,119,168,267
1,8,10,30.0,24.5,22.1,101.2,0.017155967,64,1.13194149,73.8,3,60,9,1047,605,309,365,296
1,8,11,31.0,25.0,22.5,101.2,0.017551342,62,1.127522326,75.9,6,100,8,1235,870,663,699,206
1,8,12,31.5,25.1,22.4,101.2,0.017506202,60,1.125751266,76.3,8,100,6,1346,1000,811,813,189
1,8,13,30.9,25.0,22.5,101.2,0.017593415,62,1.127818963,75.9,9,100,3,1373,917,643,651,274
1,8,14,31.3,25.2,22.7,101.1,0.017776903,61,1.124901473,76.8,8,110,1,1316,879,616,669,263
1,8,15,31.2,25.1,22.6,101.1,0.017652953,61,1.125489144,76.3,11,120,1,1176,706,396,492,310
1,8,16,29.5,24.5,22.3,101.0,0.017405856,67,1.131128549,74.0,7,100,0,964,579,324,497,254
1,8,17,29.1,24.5,22.5,100.9,0.017594067,69,1.131171102,74.0,8,110,0,695,517,419,848,98
